id,Predicted
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,1
425,0
426,1
427,1
428,1
429,1
430,1
431,0
432,0
433,0
434,0
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,0
443,1
444,1
445,1
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,0
464,1
465,1
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,1
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,1
502,0
503,1
504,1
505,0
506,0
507,0
508,0
509,1
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,1
520,0
521,1
522,1
523,1
524,0
525,0
526,1
527,0
528,0
529,0
530,1
531,1
532,0
533,1
534,0
535,1
536,0
537,0
538,0
539,1
540,0
541,1
542,1
543,0
544,1
545,0
546,0
547,0
548,0
549,1
550,1
551,1
552,0
553,0
554,0
555,0
556,0
557,0
558,1
559,0
560,0
561,1
562,1
563,0
564,1
565,0
566,0
567,0
568,0
569,1
570,1
571,1
572,1
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,1
587,1
588,0
589,0
590,1
591,0
592,1
593,0
594,1
595,0
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,1
606,1
607,1
608,1
609,1
610,1
611,0
612,1
613,0
614,1
615,1
616,0
617,0
618,0
619,1
620,1
621,1
622,0
623,0
624,0
625,1
626,1
627,0
628,1
629,1
630,0
631,1
632,0
633,0
634,1
635,0
636,1
637,0
638,0
639,0
640,0
641,0
642,1
643,1
644,0
645,1
646,1
647,1
648,1
649,0
650,1
651,0
652,1
653,0
654,0
655,0
656,1
657,0
658,1
659,0
660,0
661,1
662,0
663,1
664,1
665,1
666,0
667,0
668,0
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,1
677,1
678,0
679,0
680,1
681,0
682,0
683,0
684,1
685,1
686,0
687,0
688,0
689,1
